#
#  This file contains sample profiling data.
#  It was collected by running the GrinBunny game
#  on an off-the-shelf PS/3.
#
#  To run the profiler, I have a simple shell script in
#  ~/bin/grinprof that looks like this:
#
#     #!/bin/sh -x
#     java -Xmx400m -jar /Users/billf/java.net/hdcookbook/bin/profiler.jar $*
#
#  That way, I can launch the gui on this data set with
#  "grinprof sample_profile.dat".  As of this writing (in May 2009),
#  grinprof was a GUI tool that was operated from the command line,
#  so it needed to be run from a terminal window.  By the time you read
#  this, that may no longer be true.
#
#  By the way, notice how we can put comments in this data file?  That's
#  because we used com.hdcookbook.grin.util.JsonIO to write out this
#  simple text format, and it handles comments in the input text.

1241824852366340000
3309
[583521000,1643000,255,"blitToFB(DD engine 1)"]
[585462000,20447000,255,"idleWait(DD engine 0)"]
[605967000,43000,255,"advanceModel(DD engine 0)"]
[606216000,441000,255,"damageCalculation(DD engine 0)"]
[606874000,269000,255,"eraseBuffer(DD engine 0)"]
[607173000,15278000,255,"drawToBuffer(DD engine 0)"]
[622556000,1824000,255,"blitToFB(DD engine 1)"]
[624409000,22666000,255,"idleWait(DD engine 0)"]
[647153000,129000,255,"advanceModel(DD engine 0)"]
[647313000,36000,255,"damageCalculation(DD engine 0)"]
[647564000,25000,255,"eraseBuffer(DD engine 0)"]
[647700000,9684000,255,"drawToBuffer(DD engine 0)"]
[657438000,1763000,255,"blitToFB(DD engine 1)"]
[659242000,29560000,255,"idleWait(DD engine 0)"]
[688908000,42000,255,"advanceModel(DD engine 0)"]
[688965000,464000,255,"damageCalculation(DD engine 0)"]
[689456000,287000,255,"eraseBuffer(DD engine 0)"]
[689774000,14693000,255,"drawToBuffer(DD engine 0)"]
[704518000,1600000,255,"blitToFB(DD engine 1)"]
[706157000,24404000,255,"idleWait(DD engine 0)"]
[730625000,79000,255,"advanceModel(DD engine 0)"]
[730960000,31000,255,"damageCalculation(DD engine 0)"]
[731314000,104000,255,"eraseBuffer(DD engine 0)"]
[731982000,12448000,255,"drawToBuffer(DD engine 0)"]
[744491000,5765000,255,"blitToFB(DD engine 1)"]
[750311000,21967000,255,"idleWait(DD engine 0)"]
[772333000,886000,255,"advanceModel(DD engine 0)"]
[773341000,114000,255,"damageCalculation(DD engine 0)"]
[773484000,360000,255,"eraseBuffer(DD engine 0)"]
[773861000,15010000,255,"drawToBuffer(DD engine 0)"]
[788925000,2691000,255,"blitToFB(DD engine 1)"]
[791651000,22348000,255,"idleWait(DD engine 0)"]
[814055000,242000,255,"advanceModel(DD engine 0)"]
[814411000,334000,255,"damageCalculation(DD engine 0)"]
[815281000,52000,255,"eraseBuffer(DD engine 0)"]
[815612000,6101000,255,"drawToBuffer(DD engine 0)"]
[823072000,4092000,255,"blitToFB(DD engine 1)"]
[827222000,28423000,255,"idleWait(DD engine 0)"]
[855709000,123398000,255,"advanceModel(DD engine 0)"]
[979173000,3705000,255,"damageCalculation(DD engine 0)"]
[982931000,281000,255,"eraseBuffer(DD engine 0)"]
[983467000,9276000,255,"drawToBuffer(DD engine 0)"]
[993036000,7521000,255,"blitToFB(DD engine 1)"]
[1000787000,86000,255,"advanceModel(DD engine 0)"]
[1001706000,42000,255,"advanceModel(DD engine 0)"]
[1001981000,125000,255,"advanceModel(DD engine 0)"]
[1002376000,241000,255,"damageCalculation(DD engine 0)"]
[1002856000,515000,255,"eraseBuffer(DD engine 0)"]
[1003416000,9323000,255,"drawToBuffer(DD engine 0)"]
[1012794000,4887000,255,"blitToFB(DD engine 1)"]
[1017772000,5583000,255,"idleWait(DD engine 0)"]
[1023420000,443000,255,"advanceModel(DD engine 0)"]
[1023886000,480000,255,"damageCalculation(DD engine 0)"]
[1024389000,430000,255,"eraseBuffer(DD engine 0)"]
[1025052000,15844000,255,"drawToBuffer(DD engine 0)"]
[1040956000,10144000,255,"blitToFB(DD engine 1)"]
[1053113000,12943000,255,"idleWait(DD engine 0)"]
[1066128000,113000,255,"advanceModel(DD engine 0)"]
[1066525000,316000,255,"damageCalculation(DD engine 0)"]
[1066876000,240000,255,"eraseBuffer(DD engine 0)"]
[1067261000,10283000,255,"drawToBuffer(DD engine 0)"]
[1077596000,7045000,255,"blitToFB(DD engine 1)"]
[1084911000,21558000,255,"idleWait(DD engine 0)"]
[1106539000,365000,255,"advanceModel(DD engine 0)"]
[1106927000,440000,255,"damageCalculation(DD engine 0)"]
[1107383000,320000,255,"eraseBuffer(DD engine 0)"]
[1108165000,16966000,255,"drawToBuffer(DD engine 0)"]
[1125185000,11987000,255,"blitToFB(DD engine 1)"]
[1137464000,10589000,255,"idleWait(DD engine 0)"]
[1148114000,1335000,255,"advanceModel(DD engine 0)"]
[1150000000,1777000,255,"damageCalculation(DD engine 0)"]
[1151827000,253000,255,"eraseBuffer(DD engine 0)"]
[1152241000,17377000,255,"drawToBuffer(DD engine 0)"]
[1169671000,4357000,255,"blitToFB(DD engine 1)"]
[1174268000,15453000,255,"idleWait(DD engine 0)"]
[1190269000,673000,255,"advanceModel(DD engine 0)"]
[1191055000,764000,255,"damageCalculation(DD engine 0)"]
[1191866000,607000,255,"eraseBuffer(DD engine 0)"]
[1193006000,32662000,255,"drawToBuffer(DD engine 0)"]
[1226983000,7845000,255,"blitToFB(DD engine 1)"]
